ESTRATO,SEMESTRE,PROMEDIOSEMESTRE,EDAD2,PROGRAMA,GENERO,CIUDADRESIDENCIA,CIUDADNACIMIENTO,target
3.0,8,4.9,27,102383,0,76130.0,76001.0,1
3.0,8,4.9,30,102383,0,76001.0,76001.0,1
4.0,8,4.6,43,102383,0,76001.0,19001.0,1
4.0,8,4.8,21,102383,0,19698.0,76001.0,1
3.0,2,2.6,33,102383,0,76001.0,76001.0,1
2.0,8,4.9,22,102383,0,76834.0,76834.0,1
3.0,8,4.6,29,102383,1,52001.0,52001.0,1
1.0,4,0.0,25,102383,1,19698.0,19698.0,1
2.0,8,4.4,27,102383,0,76001.0,76001.0,1
2.0,8,3.3,25,102383,0,52001.0,52001.0,1
3.0,8,4.2,38,102383,0,76001.0,76736.0,1
2.0,8,4.8,21,102383,0,76520.0,76520.0,1
3.0,8,4.8,23,102383,0,76001.0,76001.0,1
5.0,8,4.8,21,102383,0,76001.0,76001.0,1
2.0,8,4.6,20,102383,0,76001.0,76109.0,1
3.0,8,4.0,22,102383,0,76520.0,76520.0,1
3.0,8,4.9,22,102383,0,76001.0,76001.0,1
4.0,3,2.9,19,102383,0,76001.0,76001.0,1
2.0,8,3.9,23,102383,0,76001.0,76001.0,1
3.0,8,3.9,22,102383,0,76520.0,76001.0,1
3.0,4,4.0,40,102383,1,76001.0,76001.0,0
3.0,7,4.2,23,102383,0,19698.0,19698.0,1
3.0,8,4.4,22,102383,1,19698.0,19698.0,1
3.0,8,3.9,23,102383,0,76001.0,76001.0,1
1.0,8,4.6,26,102383,1,76001.0,76001.0,1
1.0,8,4.1,28,102383,1,19698.0,19821.0,1
2.0,8,4.4,21,102383,0,76364.0,76364.0,1
3.0,8,3.5,22,102383,1,76001.0,76001.0,1
3.0,8,4.4,23,102383,1,76001.0,76001.0,1
1.0,8,4.6,25,102383,0,76001.0,73411.0,1
2.0,8,4.8,26,102383,0,76001.0,19130.0,1
3.0,2,3.1,20,102383,1,76001.0,76001.0,1
2.0,8,4.9,21,102383,0,76001.0,76001.0,1
3.0,8,4.6,22,102383,0,76364.0,76001.0,1
3.0,7,4.5,34,102383,0,76001.0,76001.0,1
1.0,8,4.4,26,102383,0,76001.0,19318.0,1
3.0,8,4.2,20,102383,0,76001.0,76001.0,1
3.0,8,4.7,23,102383,0,76001.0,76001.0,1
2.0,8,4.7,26,102383,0,76001.0,76001.0,1
1.0,7,4.0,24,102383,0,5400.0,52399.0,1
1.0,7,4.0,24,102383,0,52399.0,52399.0,1
1.0,7,4.0,24,102383,0,70400.0,52399.0,1
1.0,7,4.0,24,102383,0,76400.0,52399.0,1
1.0,8,4.9,23,102383,0,76001.0,76001.0,1
1.0,8,4.6,22,102383,0,76001.0,76001.0,1
2.0,8,4.9,27,102383,0,76001.0,76001.0,1
3.0,8,4.4,24,102383,0,76001.0,76001.0,1
3.0,8,4.9,24,102383,0,76001.0,76001.0,1
3.0,8,4.5,21,102383,1,76001.0,19318.0,1
4.0,8,4.2,26,102383,1,76001.0,76001.0,1
1.0,8,3.7,25,102383,0,5400.0,52399.0,1
1.0,8,3.7,25,102383,0,52399.0,52399.0,1
1.0,8,3.7,25,102383,0,70400.0,52399.0,1
1.0,8,3.7,25,102383,0,76400.0,52399.0,1
2.0,8,4.5,27,102383,0,76001.0,76001.0,1
1.0,3,3.2,23,102383,1,76001.0,76001.0,0
6.0,8,4.5,22,102383,0,76001.0,76001.0,1
2.0,8,4.9,22,102383,1,76001.0,76001.0,1
1.0,8,4.2,33,102383,0,76001.0,76001.0,1
3.0,8,4.0,25,102383,1,76001.0,76001.0,1
4.0,8,4.1,33,102383,0,76001.0,76001.0,1
2.0,8,4.8,24,102383,1,8141.0,76520.0,1
2.0,8,4.8,24,102383,1,76130.0,76520.0,1
1.0,8,4.5,21,102383,0,76001.0,76364.0,1
5.0,8,4.5,20,102383,0,76001.0,76001.0,1
2.0,8,4.4,23,102383,0,76622.0,76622.0,1
2.0,8,4.4,21,102383,1,5059.0,63001.0,1
2.0,8,4.4,21,102383,1,63001.0,63001.0,1
1.0,8,4.4,21,102383,0,5400.0,76622.0,1
1.0,8,4.4,21,102383,0,52399.0,76622.0,1
1.0,8,4.4,21,102383,0,70400.0,76622.0,1
1.0,8,4.4,21,102383,0,76400.0,76622.0,1
5.0,8,3.8,22,102383,0,76001.0,76001.0,1
2.0,8,4.0,22,102383,1,76001.0,11001.0,1
3.0,8,4.7,21,102383,0,76001.0,76001.0,1
3.0,8,4.5,22,102383,0,76001.0,76001.0,1
5.0,6,3.8,34,102383,0,76001.0,76001.0,0
4.0,8,4.9,27,102383,1,76001.0,76001.0,1
3.0,8,4.6,33,102383,0,76001.0,76001.0,1
3.0,8,4.6,24,102383,1,76001.0,76001.0,1
3.0,8,4.1,24,102383,1,76001.0,76001.0,1
4.0,8,4.3,23,102383,0,76001.0,76001.0,1
2.0,8,4.4,25,102383,0,76001.0,76001.0,1
1.0,8,4.3,23,102383,0,76001.0,76563.0,1
2.0,8,3.8,22,102383,0,76001.0,76001.0,1
1.0,8,3.8,26,102383,0,76001.0,19698.0,1
2.0,1,2.6,20,102383,1,76001.0,76001.0,0
3.0,8,4.0,21,102383,0,76001.0,13001.0,1
3.0,8,4.1,58,102383,1,76001.0,76001.0,1
1.0,8,4.9,24,102383,0,19698.0,19698.0,1
4.0,8,4.6,21,102383,0,76001.0,76001.0,1
2.0,8,4.2,24,102383,0,76001.0,76001.0,1
2.0,8,4.0,25,102383,0,76001.0,76001.0,1
3.0,8,4.5,26,102383,0,76001.0,52079.0,1
3.0,8,3.9,28,102383,1,76892.0,76892.0,1
3.0,8,3.1,25,102383,0,19001.0,19001.0,1
3.0,8,4.5,24,102383,0,76001.0,76001.0,1
1.0,8,4.1,22,102383,0,5400.0,52399.0,1
1.0,8,4.1,22,102383,0,52399.0,52399.0,1
1.0,8,4.1,22,102383,0,70400.0,52399.0,1
1.0,8,4.1,22,102383,0,76400.0,52399.0,1
3.0,8,3.4,25,102383,1,76001.0,76001.0,1
3.0,2,3.9,19,102383,0,50606.0,76001.0,0
3.0,2,3.9,19,102383,0,76606.0,76001.0,0
2.0,8,3.8,22,102383,1,76001.0,76001.0,1
2.0,8,4.1,21,102383,1,76001.0,76001.0,1
2.0,8,4.1,21,102383,0,76001.0,76001.0,1
4.0,8,3.9,25,102383,0,76001.0,76001.0,1
4.0,8,4.6,26,102383,0,76001.0,19001.0,1
3.0,2,2.5,21,102383,0,76001.0,76001.0,0
3.0,7,4.1,43,102383,0,76001.0,76001.0,1
2.0,8,4.9,32,102383,0,76001.0,76243.0,1
3.0,8,3.8,26,102383,0,76001.0,17001.0,1
3.0,7,4.0,29,102383,0,19573.0,19573.0,1
3.0,8,3.5,24,102383,0,76001.0,76001.0,1
3.0,8,4.1,20,102383,1,76001.0,66001.0,1
3.0,8,4.1,40,102383,0,76001.0,76147.0,1
3.0,3,0.9,22,102383,0,76001.0,76001.0,1
2.0,8,4.3,23,102383,0,76520.0,76520.0,1
3.0,8,3.5,25,102383,0,76001.0,52079.0,1
3.0,8,4.3,22,102383,0,76001.0,27250.0,1
3.0,8,3.5,25,102383,0,76001.0,76001.0,1
2.0,8,4.2,22,102383,0,76834.0,76834.0,1
3.0,8,4.2,29,102383,0,76275.0,19455.0,1
5.0,8,4.9,21,102383,0,76001.0,11001.0,1
3.0,7,1.9,29,102383,0,76001.0,76001.0,0
2.0,8,4.0,22,102383,0,19318.0,19318.0,1
6.0,8,4.1,24,102383,0,76001.0,76001.0,1
2.0,8,3.5,23,102383,0,76001.0,76001.0,1
3.0,8,4.4,26,102383,1,76001.0,76001.0,1
2.0,8,4.3,23,102383,0,76001.0,76001.0,1
3.0,6,3.7,20,102383,1,76001.0,76001.0,0
3.0,8,3.7,21,102383,0,52001.0,52001.0,1
1.0,3,3.0,24,102383,1,76275.0,76275.0,1
3.0,2,3.6,32,102383,0,76001.0,76834.0,0
2.0,8,4.5,19,102383,0,76001.0,76001.0,1
3.0,8,4.1,35,102383,0,76001.0,76001.0,1
3.0,1,1.1,20,102383,0,76001.0,11001.0,1
4.0,8,4.4,43,102383,0,76001.0,76001.0,1
3.0,8,4.0,24,102383,0,76001.0,73001.0,1
4.0,8,4.5,22,102383,0,76001.0,19001.0,1
3.0,8,4.3,23,102383,0,76001.0,76001.0,1
4.0,8,3.9,21,102383,0,76001.0,76001.0,1
